project,cheapest_category,cheapest_confs,cheapest_runtime,cheapest_price,cheapest_max_failure_rate,cheapest_github_caliber_confs,cheapest_github_caliber_runtime,cheapest_github_caliber_price,cheapest_github_caliber_max_failure_rate,cheapest_github_caliber_runtime_rate,cheapest_github_caliber_price_saving,cheapest_smart_baseline_confs,cheapest_smart_baseline_runtime,cheapest_smart_baseline_price,cheapest_smart_baseline_max_failure_rate,cheapest_smart_baseline_runtime_rate,cheapest_smart_baseline_price_saving,fastest_category,fastest_confs,fastest_runtime,fastest_price,fastest_max_failure_rate,fastest_github_caliber_confs,fastest_github_caliber_runtime,fastest_github_caliber_price,fastest_github_caliber_max_failure_rate,fastest_github_caliber_runtime_rate,fastest_github_caliber_price_saving,fastest_smart_baseline_confs,fastest_smart_baseline_runtime,fastest_smart_baseline_price,fastest_smart_baseline_max_failure_rate,fastest_smart_baseline_runtime_rate,fastest_smart_baseline_price_saving
fluent-logger-java_dot,4-0.2-cheap,{'19CPU010Mem1GB.sh': 4},30.97,0.02,0.41,{'27CPU2Mem8GB.sh': 4},11.14,0.10,0.00,2.78,0.84,{'01noThrottling.sh': 4},11.00,0.21,0.00,2.81,0.92,6-0.2-fast,{'29CPU4Mem8GB.sh': 6},8.13,0.17,0.00,{'27CPU2Mem8GB.sh': 6},8.13,0.10,0.00,0.00,1.68,{'01noThrottling.sh': 6},8.13,0.21,0.00,0.00,0.84
handlebars.java_dot,10-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1}",1.64,0.01,0.03,{'27CPU2Mem8GB.sh': 10},1.00,0.01,0.01,1.64,0.41,{'22CPU05Mem2GB.sh': 10},1.82,0.01,0.00,0.90,0.24,10-0.2-fast,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 2, '25CPU1Mem8GB.sh': 2, '27CPU2Mem8GB.sh': 2}",0.98,0.01,0.03,{'27CPU2Mem8GB.sh': 10},1.00,0.01,0.01,0.02,0.77,{'22CPU05Mem2GB.sh': 10},1.82,0.01,0.00,0.46,0.98
hbase_dot,10-0.2-cheap,"{'19CPU010Mem1GB.sh': 9, '22CPU05Mem2GB.sh': 1}",629.05,0.51,0.66,{'27CPU2Mem8GB.sh': 10},476.49,7.73,0.48,1.32,0.93,{'29CPU4Mem8GB.sh': 10},439.52,13.83,0.45,1.43,0.96,12-0.2-fast,"{'21CPU025Mem2GB.sh': 8, '23CPU05Mem4GB.sh': 2, '26CPU2Mem4GB.sh': 2}",333.62,2.25,0.55,{'27CPU2Mem8GB.sh': 12},405.56,7.73,0.48,0.18,0.29,{'29CPU4Mem8GB.sh': 12},378.46,13.83,0.45,0.12,0.16
http-request_dot,10-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 2, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1}",0.28,0.00,0.01,{'27CPU2Mem8GB.sh': 10},0.09,0.00,0.00,3.29,0.24,{'01noThrottling.sh': 10},0.09,0.00,0.00,3.22,0.57,12-0.2-fast,"{'28CPU2Mem16GB.sh': 6, '29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 1, '26CPU2Mem4GB.sh': 2}",0.07,0.00,0.00,{'27CPU2Mem8GB.sh': 12},0.08,0.00,0.00,0.16,1.24,{'01noThrottling.sh': 12},0.09,0.00,0.00,0.17,0.70
httpcore_dot,10-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1}",6.68,0.01,0.05,{'27CPU2Mem8GB.sh': 10},1.64,0.03,0.04,4.08,0.66,{'26CPU2Mem4GB.sh': 10},1.63,0.03,0.02,4.10,0.60,12-0.2-fast,"{'28CPU2Mem16GB.sh': 4, '01noThrottling.sh': 7, '26CPU2Mem4GB.sh': 1}",1.43,0.05,0.05,{'27CPU2Mem8GB.sh': 12},1.47,0.03,0.04,0.03,1.59,{'26CPU2Mem4GB.sh': 12},1.46,0.03,0.02,0.02,1.88
hutool_hutool-cron,4-0.2-cheap,{'26CPU2Mem4GB.sh': 4},0.10,0.00,0.00,{'27CPU2Mem8GB.sh': 4},0.10,0.00,0.00,1.01,0.14,{'27CPU2Mem8GB.sh': 4},0.10,0.00,0.00,1.01,0.14,4-0.2-fast,{'01noThrottling.sh': 4},0.10,0.00,0.00,{'27CPU2Mem8GB.sh': 4},0.10,0.00,0.00,0.03,1.95,{'27CPU2Mem8GB.sh': 4},0.10,0.00,0.00,0.03,1.95
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,6-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",55.78,0.01,0.07,{'27CPU2Mem8GB.sh': 6},11.23,0.11,0.00,4.97,0.88,{'27CPU2Mem8GB.sh': 6},11.23,0.11,0.00,4.97,0.88,12-0.2-fast,{'28CPU2Mem16GB.sh': 12},10.01,0.15,0.01,{'27CPU2Mem8GB.sh': 12},10.01,0.11,0.00,0.00,1.30,{'27CPU2Mem8GB.sh': 12},10.01,0.11,0.00,0.00,1.30
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,6-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1}",148.71,0.03,0.04,{'27CPU2Mem8GB.sh': 6},30.59,0.38,0.00,4.86,0.91,{'28CPU2Mem16GB.sh': 6},30.59,0.49,0.00,4.86,0.93,12-0.2-fast,"{'21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 2, '23CPU05Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 3, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 1}",27.71,0.32,0.00,{'27CPU2Mem8GB.sh': 12},30.10,0.38,0.00,0.08,0.85,{'28CPU2Mem16GB.sh': 12},30.10,0.49,0.00,0.08,0.65
logback_dot,12-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",65.09,0.03,0.11,{'27CPU2Mem8GB.sh': 12},149.48,0.64,0.02,0.44,0.96,{'26CPU2Mem4GB.sh': 12},149.18,0.54,0.01,0.44,0.95,12-0.2-fast,"{'19CPU010Mem1GB.sh': 2, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 2, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 1}",50.35,0.05,0.02,{'27CPU2Mem8GB.sh': 12},149.48,0.64,0.02,0.66,0.08,{'26CPU2Mem4GB.sh': 12},149.18,0.54,0.01,0.66,0.10
luwak_luwak,10-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '01noThrottling.sh': 1}",8.70,0.01,0.03,{'27CPU2Mem8GB.sh': 10},2.35,0.03,0.00,3.70,0.58,{'01noThrottling.sh': 10},2.33,0.05,0.00,3.73,0.78,12-0.2-fast,"{'27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 6, '01noThrottling.sh': 4}",2.23,0.04,0.00,{'27CPU2Mem8GB.sh': 12},2.26,0.03,0.00,0.01,1.50,{'01noThrottling.sh': 12},2.23,0.05,0.00,0.00,0.78
ninja_dot,12-0.2-cheap,"{'19CPU010Mem1GB.sh': 2, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 2, '23CPU05Mem4GB.sh': 2, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1}",7.44,0.02,0.90,{'27CPU2Mem8GB.sh': 12},2.54,0.03,0.90,2.93,0.25,{'19CPU010Mem1GB.sh': 12},45.37,0.04,0.90,0.16,0.48,12-0.2-fast,"{'27CPU2Mem8GB.sh': 2, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 4, '26CPU2Mem4GB.sh': 5}",2.51,0.04,0.90,{'27CPU2Mem8GB.sh': 12},2.54,0.03,0.90,0.01,1.37,{'19CPU010Mem1GB.sh': 12},45.37,0.04,0.90,0.94,0.96
noxy_noxy-discovery-zookeeper,2-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",15.06,0.04,0.02,{'27CPU2Mem8GB.sh': 2},14.93,0.05,0.00,1.01,0.22,{'01noThrottling.sh': 2},13.18,0.09,0.00,1.14,0.57,2-0.2-fast,{'01noThrottling.sh': 2},13.18,0.09,0.00,{'27CPU2Mem8GB.sh': 2},14.93,0.05,0.00,0.12,1.80,{'01noThrottling.sh': 2},13.18,0.09,0.00,0.00,1.00
okhttp_dot,10-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1}",8.71,0.00,0.38,{'27CPU2Mem8GB.sh': 10},2.52,0.01,0.57,3.46,0.80,{'24CPU1Mem4GB.sh': 10},3.87,0.00,0.44,2.25,0.55,12-0.2-fast,"{'27CPU2Mem8GB.sh': 3, '28CPU2Mem16GB.sh': 1, '01noThrottling.sh': 3, '26CPU2Mem4GB.sh': 5}",2.38,0.01,0.46,{'27CPU2Mem8GB.sh': 12},2.41,0.01,0.57,0.01,1.04,{'24CPU1Mem4GB.sh': 12},3.72,0.00,0.44,0.36,2.36
orbit_dot,8-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '01noThrottling.sh': 1}",9.61,0.02,0.09,{'27CPU2Mem8GB.sh': 8},5.24,0.04,0.07,1.84,0.46,{'28CPU2Mem16GB.sh': 8},5.24,0.05,0.04,1.84,0.59,12-0.2-fast,"{'24CPU1Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 3, '28CPU2Mem16GB.sh': 2, '29CPU4Mem8GB.sh': 4, '01noThrottling.sh': 2}",5.08,0.05,0.08,{'27CPU2Mem8GB.sh': 12},5.13,0.04,0.07,0.01,1.42,{'28CPU2Mem16GB.sh': 12},5.13,0.05,0.04,0.01,1.08
retrofit_retrofit-adapters.rxjava,8-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '01noThrottling.sh': 1}",2.26,0.00,0.00,{'27CPU2Mem8GB.sh': 8},1.01,0.01,0.00,2.24,0.79,{'19CPU010Mem1GB.sh': 8},3.24,0.00,0.00,0.70,0.52,6-0.2-fast,{'26CPU2Mem4GB.sh': 6},1.01,0.01,0.00,{'27CPU2Mem8GB.sh': 6},1.01,0.01,0.00,0.00,0.84,{'19CPU010Mem1GB.sh': 6},3.42,0.00,0.00,0.71,1.87
retrofit_retrofit,10-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1}",1.57,0.00,0.00,{'27CPU2Mem8GB.sh': 10},1.09,0.01,0.00,1.44,0.16,{'19CPU010Mem1GB.sh': 10},26.72,0.01,0.00,0.06,0.54,12-0.2-fast,"{'28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 10}",0.98,0.01,0.00,{'27CPU2Mem8GB.sh': 12},1.09,0.01,0.00,0.09,1.76,{'19CPU010Mem1GB.sh': 12},26.58,0.01,0.00,0.96,0.97
rxjava2-extras_dot,12-0.2-cheap,"{'19CPU010Mem1GB.sh': 2, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1}",26.81,0.03,0.00,{'27CPU2Mem8GB.sh': 12},10.58,0.14,0.01,2.53,0.77,{'19CPU010Mem1GB.sh': 12},62.92,0.05,0.00,0.43,0.33,12-0.2-fast,"{'28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 9, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",9.48,0.19,0.01,{'27CPU2Mem8GB.sh': 12},10.58,0.14,0.01,0.10,1.37,{'19CPU010Mem1GB.sh': 12},62.92,0.05,0.00,0.85,3.93
spring-boot_dot,12-0.2-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 2, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1}",44.97,0.13,0.00,{'27CPU2Mem8GB.sh': 12},6.82,0.21,0.00,6.60,0.38,{'19CPU010Mem1GB.sh': 12},157.53,0.27,0.00,0.29,0.51,12-0.2-fast,{'29CPU4Mem8GB.sh': 12},6.47,0.34,0.01,{'27CPU2Mem8GB.sh': 12},6.82,0.21,0.00,0.05,1.60,{'19CPU010Mem1GB.sh': 12},157.53,0.27,0.00,0.96,1.27
timely_server,12-0.2-cheap,"{'22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 2, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 2, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 2}",3.04,0.02,0.01,{'27CPU2Mem8GB.sh': 12},1.11,0.02,0.01,2.74,0.17,{'29CPU4Mem8GB.sh': 12},0.93,0.03,0.00,3.25,0.40,12-0.2-fast,{'29CPU4Mem8GB.sh': 12},0.93,0.03,0.00,{'27CPU2Mem8GB.sh': 12},1.11,0.02,0.01,0.16,1.39,{'29CPU4Mem8GB.sh': 12},0.93,0.03,0.00,0.00,1.00
wro4j_wro4j-extensions,12-0.2-cheap,"{'21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 2, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 2, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",14.61,0.10,0.00,{'27CPU2Mem8GB.sh': 12},6.51,0.12,0.00,2.24,0.18,{'19CPU010Mem1GB.sh': 12},160.75,0.20,0.00,0.09,0.49,12-0.2-fast,"{'29CPU4Mem8GB.sh': 7, '01noThrottling.sh': 5}",3.74,0.17,0.00,{'27CPU2Mem8GB.sh': 12},6.51,0.12,0.00,0.43,1.39,{'19CPU010Mem1GB.sh': 12},160.75,0.20,0.00,0.98,0.85
yawp_yawp-testing.yawp-testing-appengine,1-0.2-cheap,{'26CPU2Mem4GB.sh': 1},1.57,0.00,0.02,{'27CPU2Mem8GB.sh': 1},1.59,0.00,0.06,0.99,0.13,{'26CPU2Mem4GB.sh': 1},1.57,0.00,0.02,1.00,0.00,1-0.2-fast,{'01noThrottling.sh': 1},1.36,0.01,0.08,{'27CPU2Mem8GB.sh': 1},1.59,0.00,0.06,0.15,1.67,{'26CPU2Mem4GB.sh': 1},1.57,0.00,0.02,0.14,1.91
